"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"1","Cam Newton","QB","FA","12.5","27.4","29.9","16.1","-","19.8","13.9","18","33.6","21","31.4","17.8","36.1","23","41.6","14.3","32.7","24.3","389.1"
"2","Tom Brady","QB","FA","27.6","28.2","22.7","-","25.3","22.5","29.7","30.3","17.9","18.3","13.1","23.2","32.3","18","18.7","11.1","5.3","21.5","344.2"
"3","Russell Wilson","QB","NYG","15.1","22","16.2","15.5","12.6","18.9","11.4","13.6","-","16.8","25.4","35.2","34.1","32.3","26.6","19.4","21.2","21","336.3"
"4","Blake Bortles","QB","FA","9.9","21.6","16.4","19","28.2","22.9","13","-","20.4","16","10.6","22.5","32.8","25.7","24.3","29.2","3.6","19.8","316.1"
"5","Antonio Brown","WR","FA","23.8","32","16.3","6.7","6","3.9","16","13.7","37.1","32.9","-","8.1","27.8","12.2","38.9","9.6","29.2","19.6","314.2"
"6","Drew Brees","QB","FA","16.5","12.1","-","22.4","15.3","16.7","11.8","44.3","31.4","12.4","-","7.1","22.5","20.5","26.7","28.2","16.4","20.3","304.2"
"7","Aaron Rodgers","QB","PIT","23.1","22.3","34.9","16.3","15.5","19.6","-","6.2","33","22.1","19.1","13.4","25.6","19.4","10.1","7.9","12.8","18.8","301.2"
"8","Julio Jones","WR","FA","30.6","20","34.4","5.8","9.2","12.3","19.7","26.2","18.7","-","20.5","8.1","13.3","12.3","22.3","28.3","19.4","18.8","301.1"
"9","Kirk Cousins","QB","ATL","7.7","12.1","14.6","21.7","8.9","7.9","30.2","-","10.7","29","6.7","22.2","13.4","21.3","35.9","32.2","19","18.3","293.4"
"10","Matthew Stafford","QB","LAR","13.7","19.4","9.1","8.1","5.7","33.9","18.7","9.2","-","15.8","20.4","34.8","17","16.3","22.1","21.1","24.9","18.1","290.3"
"11","Philip Rivers","QB","FA","19.9","14.1","9.8","26.2","20.6","28.1","25.4","24","15.2","-","5.9","28.9","6.1","8.9","20.4","15.1","15.6","17.8","284.5"
"12","Devonta Freeman","RB","FA","6.2","13.9","39.8","35.4","29.2","31.6","14","16.1","17.9","-","4.3","-","15.3","5.7","19.6","16.5","14.4","18.7","279.9"
"13","DeAndre Hopkins","WR","BAL","28.3","7.8","20.1","20.2","22.4","31.8","8","19.4","BYE","14.2","26.3","6.1","17.3","6.7","13.4","21.2","12.4","17.2","275.6"
"14","Jameis Winston","QB","NYG","14.2","18.6","12.4","12.7","15.3","-","20.4","19.5","18.3","12.9","29.8","14.5","18.6","13.7","19","18.8","16.4","17.2","275"
"15","Odell Beckham Jr.","WR","FA","6.9","24.1","17.4","6.3","21.9","15.6","5.5","35","15","18.4","-","24.7","23.9","32.1","16.6","-","7.9","18.1","271.3"
"16","Derek Carr","QB","FA","3.2","26.3","20.5","11.8","9.9","-","23.9","29.1","26.3","17.3","7.6","23.7","13.3","13","19.2","15.2","11","17","271.3"
"17","Alex Smith","QB","FA","23.2","5.1","18.9","17.9","13.3","16.3","14.5","27.6","-","15.5","13.4","21.7","24.8","13.6","12.5","16.4","16.3","17","271.2"
"18","Tyrod Taylor","QB","NYJ","15.9","26","24.3","14.5","22.9","-","-","-","15.6","11.5","9.4","26.2","29.2","18","27.3","11.9","18.4","19.4","271.1"
"19","Allen Robinson II","WR","FA","3.2","30.5","8.8","10","22.7","17.6","18.8","-","15.1","13.6","13.8","14.1","38.3","6.9","13.2","24.1","13.3","16.5","264"
"20","Ryan Tannehill","QB","FA","11.7","24.1","15.8","12.3","-","16","27.6","7.9","12","16.5","14.8","22","8.5","15.8","15","14","23.7","16.1","257.8"
"21","Adrian Peterson","RB","FA","6.7","18.2","24.6","17.4","-","6.2","12.5","11.9","21.3","28.6","11.1","31.7","4.4","13.1","6.3","18.4","13.3","15.4","245.7"
"22","Andy Dalton","QB","CAR","18.9","21.6","30.3","18.4","27","21.5","-","9.6","21.9","9","22","19.7","23.9","0.4","-","-","-","18.8","244.2"
"23","Matt Ryan","QB","FA","16.6","18.4","23.1","14.1","6.2","18.8","9.7","20.1","16.3","-","17.9","9.1","13.2","4.9","11.8","14.3","19.4","14.6","233.9"
"24","A.J. Green","WR","FA","8.8","12","39.7","11.7","10.8","5.6","-","23.3","7.3","7.2","9.9","21.1","21.3","22.2","4.2","14.2","11.4","14.4","230.7"
"25","Ben Roethlisberger","QB","FA","18","30.7","5.7","-","-","-","-","8.5","21.4","27","-","22","33.9","9.9","22.9","4.5","23.8","19","228.1"
"26","Rob Gronkowski","TE","FA","29.9","20.8","12.1","-","8.7","12.5","22.3","20.3","6.7","19.8","4.7","17.8","-","16.7","13.9","10.6","2.8","14.6","219.6"
"27","Jarvis Landry","WR","FA","10.7","15.6","12.6","8.9","-","14.1","23.3","10.1","14.1","15.3","8.6","29.4","1.5","15.4","9.4","14.6","10.8","13.4","214.4"
"28","Brandin Cooks","WR","NO","7.3","8.3","11.4","4.5","19.2","6.1","11.1","23.5","15.1","25.4","BYE","6","19.4","4.4","23.4","21.8","4.7","13.2","211.6"
"29","Marcus Mariota","QB","WAS","25","16.2","18.7","-","10.2","4.8","-","BYE","33.3","7.8","18.1","19.4","35.9","21.9","-0.7","-","-","17.5","210.5"
"30","Lamar Miller","RB","FA","8","6.7","8","4.1","-","18.8","37.1","11.9","29.6","18.3","6.5","2.8","10.3","20.9","3.4","15.2","6.8","13","208.4"
"31","Jordan Reed","TE","FA","15.8","11.2","12.6","4.2","-","-","24.7","-","9.3","16.4","5.6","13.8","4.8","22.5","23.9","29.4","6.5","14.3","200.7"
"32","Teddy Bridgewater","QB","TB","8.8","18.2","2.7","15.1","-","9.5","18.7","11.6","13.5","11.9","20.1","4.7","2.9","15.7","32.9","11.9","2.2","12.5","200.4"
"33","Allen Hurns","WR","FA","6.5","8.8","14","23.1","20.1","10","12.3","-","20.7","14.7","3.4","6.2","-","18","5.4","26.7","3.2","12.9","193.1"
"34","David Johnson","RB","FA","12","11","5.6","14.1","12.6","2.2","3.4","5.8","-","1.3","9.6","9.9","19","14.8","42.9","20.2","7.4","12","191.8"
"35","Greg Olsen","TE","FA","1.6","10","29.4","3.8","-","22.6","8","16.9","14.6","12","12.9","9.5","15.4","6.7","16.9","6","2.6","11.8","188.9"
"36","Sammy Watkins","WR","FA","0","15","4.4","-","-","12.8","-","-","26.8","2.9","5.4","30.8","18.4","16.7","25.6","10.9","19.1","14.5","188.8"
"37","Michael Crabtree","WR","FA","6.2","21.6","5.6","10.5","7.4","-","15.3","19.7","26.3","7.5","8","9.9","13","3.9","10","12.9","10.9","11.8","188.7"
"38","Jordan Matthews","TE","FA","15.2","17","7.9","6.5","6.9","6.9","2.9","-","23.8","3.6","3.3","13.5","11.1","3.4","25.9","19.4","20.9","11.8","188.2"
"39","Emmanuel Sanders","WR","FA","10.5","24.7","11.7","8.3","15.6","18.9","-","3.2","18","0","-","14.3","3.9","0.7","31.5","14.7","10.4","12.4","186.4"
"40","Latavius Murray","RB","FA","11.5","16.2","21.4","7.6","7.2","-","15.1","12.4","8.5","10.2","8.8","8.7","17.7","2.7","8.5","20.2","7.6","11.5","184.3"
"41","Mark Ingram II","RB","FA","16.2","11.3","18.4","15.8","8.4","19.1","21.8","13.9","11.6","11.3","-","12.7","17.9","-","-","-","-","14.9","178.4"
"42","T.Y. Hilton","WR","FA","12.3","6.5","11.4","10.2","11.3","16.4","29","2","10.7","-","3.1","24.5","5.1","15.2","4.4","8.4","6.4","11.1","176.9"
"43","Amari Cooper","WR","FA","7.2","20.4","15.4","12.9","6.9","-","21.8","7.3","18.3","10.4","0.9","15","8.2","0","27","2","3","11","176.7"
"44","Kansas City Chiefs","DST","KC","10","11","-3","-4","11","7","12","14","BYE","19","20","5","17","14","21","7","15","11","176"
"45","John Brown","WR","FA","12.6","7","7.7","12.3","15.3","22.6","14.5","-","-","0","12.7","12.4","14.3","15.8","11.3","10","6.5","11.7","175"
"46","Mike Evans","WR","TB","-","0","13.6","4.7","5.6","BYE","26.4","6.3","17","16.6","14.3","8.9","14.6","5.4","20.2","8.1","11.9","11.6","173.6"
"47","Stephen Gostkowski","K","FA","4","19","17","-","15","11","13","12","9","11","8","7","4","11","17","9","4","10.7","171"
"48","Denver Broncos","DST","DEN","16","22","15","10","21","17","BYE","9","1","1","7","5","23","4","6","5","6","10.5","168"
"49","Carolina Panthers","DST","CAR","21","4","5","18","BYE","4","8","10","8","9","16","21","3","23","0","5","12","10.4","167"
"50","Tavon Austin","WR","FA","8.5","5.1","6.3","26.6","9.8","-","8.4","23.9","10.1","3.3","0.6","18.6","4.3","7.4","20.8","4.3","8.7","10.4","166.7"
"51","Brian Hoyer","QB","FA","9.4","-","-","17.3","19.9","24.2","20.9","17.3","-","4.4","-","13.9","23.2","4.1","-","-","12","15.1","166.6"
"52","Tyler Eifert","TE","FA","26.9","12.9","0","8.4","25","11","-","5.9","25.8","4.1","15.7","11.5","-","5.2","-","-","13.1","12.7","165.5"
"53","Golden Tate","WR","FA","4.4","11","8.2","5","10.2","13","2.4","8.9","-","8.3","11.1","14.5","10.6","24","19.5","7.9","5.4","10.3","164.4"
"54","Randall Cobb","WR","FA","12.3","15.6","31.8","6.9","3.8","4.8","-","6.7","17.9","7.5","9.4","10.4","4.8","13","8.3","3.2","7","10.2","163.4"
"55","Graham Gano","K","NYG","10","6","10","13","-","3","9","14","14","10","16","19","5","8","9","8","9","10.2","163"
"56","LeSean McCoy","RB","FA","10.2","13.1","9.1","-","-","16.4","11.4","-","18.9","18.4","21.3","15.6","11.2","12.9","4.2","-","-","13.6","162.7"
"57","Arizona Cardinals","DST","ARI","5","12","28","1","14","1","8","6","BYE","6","5","10","9","10","17","33","-3","10.1","162"
"58","Joe Flacco","QB","CLE","0.7","21.6","20.5","7.6","24.6","17.7","14.1","23","-","20.3","12","-","-","-","-","-","-","16.2","161.9"
"59","Travis Benjamin","WR","FA","16.4","25","10.5","10.9","11.3","16.2","4.7","4.1","3.7","14.1","-","19","0","6.1","5","3","7.8","9.9","157.8"
"60","Giovani Bernard","RB","FA","11.8","15.4","9.8","12.2","12.6","13.8","-","4.4","9.1","10.4","18.6","7.7","4","8.2","7.1","6.3","5.3","9.8","156.7"
"61","Travis Kelce","TE","KC","25.6","7.8","13","5.4","5","11.3","9.8","13.9","BYE","6.1","7.1","14.9","5.2","3.3","10.3","13.3","1.5","9.6","153.5"
"61","Benjamin Watson","TE","FA","3.4","2.2","4.2","4.5","11.1","23.7","7.9","25.2","8.5","3.4","-","7.3","11.8","10.5","13.9","1","14.9","9.6","153.5"
"63","Houston Texans","DST","HOU","2","5","6","-2","0","16","2","20","BYE","15","8","11","0","5","11","22","29","9.4","150"
"64","Willie Snead IV","WR","FA","6.8","10.4","6.9","11.9","17.1","7.5","4","22","12.5","0","-","7","-","15.7","12.6","9.5","5","9.9","148.9"
"65","Robbie Gould","K","FA","14","14","0","13","7","14","-","10","2","13","10","5","11","3","7","16","9","9.3","148"
"65","Seattle Seahawks","DST","SEA","13","4","12","7","14","7","13","5","BYE","11","6","9","10","12","9","1","15","9.3","148"
"67","Cairo Santos","K","CHI","10","6","2","27","5","5","11","9","-","21","9","13","2","5","12","6","3.1","9.1","146.1"
"68","Stephen Hauschka","K","FA","11","7","16","11","6","14","10","7","-","9","5","3","8","5","13","5","16","9.1","146"
"68","Justin Tucker","K","FA","10","15","6","15","6","8","5","20","-","2","11","10","7","6","2","10","13","9.1","146"
"70","Martavis Bryant","WR","FA","-","-","-","-","-","29.5","13.3","6.9","10.6","24.8","-","16.5","19.4","8.5","13.7","1.5","0.5","13.2","145.2"
"71","Julian Edelman","WR","FA","16.1","28.4","12.5","-","20","14.2","7.9","23.6","12","7.3","-","-","-","-","-","-","-","15.8","142"
"72","Marvin Jones Jr.","WR","FA","2.9","12.1","17.9","1.5","8.6","20","-","2.4","10.3","5.6","8","7","14","9.1","10.9","4.8","6.3","8.8","141.4"
"73","Donte Moncrief","WR","FA","13.6","21.7","11.2","10.5","0.8","15.9","11.4","2.8","4.5","-","6.6","15.4","3.8","6.7","13.6","2.5","0.3","8.8","141.3"
"74","Pittsburgh Steelers","DST","PIT","1","8","11","9","13","11","2","9","4","16","BYE","-1","15","16","6","2","19","8.8","141"
"75","Brandon McManus","K","GB","18","9","7","12","12","14","BYE","11","6","1","5","6","5","13","3","8","10","8.8","140"
"76","Theo Riddick","RB","FA","10.7","5.1","10.6","6.1","16.3","9.3","6.3","7.7","-","4.1","11.1","15.3","5.6","9.7","4","11.8","5.3","8.7","139"
"77","Cincinnati Bengals","DST","CIN","10","11","3","7","7","4","BYE","13","7","9","5","17","15","4","14","6","6","8.6","138"
